player_nationality,games_position,team_founded,venue_surface,league_id,team_id,venue_id,player_weight
France,Goalkeeper,1899.0,grass,61,81,12678,88
Senegal,Attacker,1899.0,grass,61,81,12678,72
Serbia,Midfielder,1899.0,grass,61,81,12678,78
Argentina,Attacker,1899.0,grass,61,81,12678,75
Brazil,Attacker,1899.0,grass,61,81,12678,78
Brazil,Midfielder,1899.0,grass,61,81,12678,72
France,Goalkeeper,1970.0,grass,61,85,671,89
Senegal,Defender,1970.0,grass,61,85,671,79
France,Midfielder,1970.0,grass,61,85,671,66
Brazil,Midfielder,1970.0,grass,61,85,671,71
France,Midfielder,1970.0,grass,61,85,671,67
France,Goalkeeper,1970.0,grass,61,85,671,90
France,Midfielder,1970.0,grass,61,85,671,68
Guinea,Attacker,1970.0,grass,61,85,671,75
France,Attacker,1970.0,grass,61,85,671,67
Senegal,Midfielder,1970.0,grass,61,85,671,66
Italy,Goalkeeper,1970.0,grass,61,85,671,76
France,Defender,1970.0,grass,61,85,671,74
Spain,Midfielder,1970.0,grass,61,85,671,70
France,Midfielder,1970.0,grass,61,85,671,74
Costa Rica,Goalkeeper,1970.0,grass,61,85,671,80
Netherlands,Midfielder,1970.0,grass,61,85,671,69
Netherlands,Midfielder,1970.0,grass,61,85,671,58
Argentina,Attacker,1970.0,grass,61,85,671,75
Germany,Midfielder,1970.0,grass,61,85,671,72
France,Goalkeeper,1970.0,grass,61,85,671,89
Spain,Midfielder,1970.0,grass,61,85,671,71
France,Defender,1970.0,grass,61,85,671,62
Brazil,Defender,1970.0,grass,61,85,671,75
Spain,Defender,1970.0,grass,61,85,671,67
France,Defender,1970.0,grass,61,85,671,79
Italy,Midfielder,1970.0,grass,61,85,671,60
Portugal,Midfielder,1970.0,grass,61,85,671,83
Spain,Defender,1970.0,grass,61,85,671,82
Italy,Goalkeeper,1970.0,grass,61,85,671,90
Spain,Goalkeeper,1970.0,grass,61,85,671,90
France,Goalkeeper,1970.0,grass,61,85,671,93
Portugal,Defender,1970.0,grass,61,85,671,70
France,Defender,1970.0,grass,61,85,671,75
Brazil,Attacker,1970.0,grass,61,85,671,68
France,Attacker,1970.0,grass,61,85,671,75
Spain,Midfielder,1970.0,grass,61,85,671,70
France,Attacker,1970.0,grass,61,85,671,63
Argentina,Attacker,1970.0,grass,61,85,671,72
Germany,Defender,1970.0,grass,61,85,671,76
Argentina,Midfielder,1970.0,grass,61,85,671,75
Argentina,Midfielder,1970.0,grass,61,85,671,75
Morocco,Defender,1970.0,grass,61,85,671,73
France,Attacker,1919.0,grass,61,91,659,69
France,Defender,1919.0,grass,61,91,659,75
France,Midfielder,1919.0,grass,61,91,659,66
Italy,Attacker,1919.0,grass,61,91,659,78
Spain,Midfielder,1919.0,grass,61,91,659,77
France,Defender,1919.0,grass,61,91,659,82
Poland,Goalkeeper,1919.0,grass,61,91,659,78
France,Attacker,1919.0,grass,61,91,659,72
France,Defender,1919.0,grass,61,91,659,77
Netherlands,Attacker,1919.0,grass,61,91,659,72
France,Attacker,1919.0,grass,61,91,659,72
France,Defender,1919.0,grass,61,91,659,71
France,Midfielder,1919.0,grass,61,91,659,81
Guinea-Bissau,Midfielder,1919.0,grass,61,91,659,78
Ghana,Attacker,1919.0,grass,61,91,659,66
Portugal,Defender,1919.0,grass,61,91,659,73
France,Goalkeeper,1919.0,grass,61,91,659,78
France,Midfielder,1919.0,grass,61,91,659,74
Germany,Goalkeeper,1919.0,grass,61,91,659,86
Brazil,Defender,1919.0,grass,61,91,659,69
France,Defender,1919.0,grass,61,91,659,83
France,Goalkeeper,1919.0,grass,61,91,659,89
Brazil,Defender,1919.0,grass,61,91,659,74
Senegal,Midfielder,1919.0,grass,61,91,659,68
Russia,Midfielder,1919.0,grass,61,91,659,69
Portugal,Midfielder,1919.0,grass,61,91,659,72
Germany,Attacker,1919.0,grass,61,91,659,85
France,Attacker,1919.0,grass,61,91,659,68
Brazil,Midfielder,1919.0,grass,61,91,659,78
France,Defender,1919.0,grass,61,91,659,70
France,Midfielder,1919.0,grass,61,91,659,75
Netherlands,Attacker,1919.0,grass,61,91,659,67
Senegal,Defender,1919.0,grass,61,91,659,75
Belgium,Midfielder,1919.0,grass,61,91,659,71
France,Defender,1919.0,grass,61,91,659,78
France,Defender,1919.0,grass,61,91,659,78
France,Midfielder,1919.0,grass,61,91,659,70
France,Midfielder,1919.0,grass,61,91,659,65
Italy,Goalkeeper,1919.0,grass,61,91,659,73
Serbia,Defender,1919.0,grass,61,91,659,88
Chile,Defender,1919.0,grass,61,91,659,84
Spain,Attacker,1909.0,grass,61,93,674,75
France,Attacker,1909.0,grass,61,93,674,69
Mali,Defender,1909.0,grass,61,93,674,75
Greece,Midfielder,1909.0,grass,61,93,674,76
France,Attacker,1909.0,grass,61,93,674,65
Guinea,Defender,1909.0,grass,61,93,674,75
Guadeloupe,Defender,1909.0,grass,61,93,674,75
Mali,Attacker,1909.0,grass,61,93,674,77
France,Midfielder,1909.0,grass,61,93,674,73
Scotland,Attacker,1909.0,grass,61,93,674,85
Belgium,Defender,1909.0,grass,61,93,674,84
Switzerland,Attacker,1909.0,grass,61,93,674,67
France,Defender,1909.0,grass,61,93,674,77
Senegal,Defender,1909.0,grass,61,93,674,74
Kosovo,Midfielder,1909.0,grass,61,93,674,70
Guinea-Bissau,Midfielder,1909.0,grass,61,93,674,63
Côte d'Ivoire,Defender,1909.0,grass,61,93,674,77
France,Midfielder,1909.0,grass,61,93,674,74
Algeria,Midfielder,1909.0,grass,61,93,674,60
France,Attacker,1909.0,grass,61,93,674,69
France,Defender,1909.0,grass,61,93,674,78
France,Midfielder,1909.0,grass,61,93,674,63
Algeria,Attacker,1909.0,grass,61,93,674,75
Morocco,Defender,1909.0,grass,61,93,674,83
Zimbabwe,Midfielder,1909.0,grass,61,93,674,83
France,Goalkeeper,1909.0,grass,61,93,674,78
Belgium,Defender,1909.0,grass,61,93,674,78
Sweden,Midfielder,1909.0,grass,61,93,674,77
France,Goalkeeper,1909.0,grass,61,93,674,74
Belgium,Defender,1909.0,grass,61,93,674,72
Kosovo,Midfielder,1909.0,grass,61,93,674,72
Netherlands,Midfielder,1909.0,grass,61,93,674,72
Mali,Midfielder,1909.0,grass,61,93,674,75
Netherlands,Attacker,1909.0,grass,61,93,674,62
Netherlands,Attacker,1909.0,grass,61,93,674,83
France,Midfielder,1909.0,grass,61,93,674,70
Senegal,Midfielder,1909.0,grass,61,93,674,71
France,Midfielder,1909.0,grass,61,93,674,72
France,Midfielder,1909.0,grass,61,93,674,69
Mali,Attacker,1909.0,grass,61,93,674,68
France,Midfielder,1909.0,grass,61,93,674,74
Serbia,Goalkeeper,1909.0,grass,61,93,674,86
Cameroon,Defender,1932.0,grass,61,112,658,86
Martinique,Defender,1932.0,grass,61,112,658,75
France,Defender,1932.0,grass,61,112,658,76
Senegal,Attacker,1932.0,grass,61,112,658,81
France,Attacker,1932.0,grass,61,112,658,77
Algeria,Midfielder,1932.0,grass,61,112,658,70
France,Defender,1932.0,grass,61,112,658,74
Tunisia,Defender,1932.0,grass,61,112,658,77
Cape Verde,Attacker,1932.0,grass,61,112,658,67
Mali,Midfielder,1932.0,grass,61,112,658,67
Senegal,Midfielder,1932.0,grass,61,112,658,70
Senegal,Midfielder,1932.0,grass,61,112,658,70
Senegal,Defender,1932.0,grass,61,112,658,75
France,Goalkeeper,1932.0,grass,61,112,658,82
France,Defender,1932.0,grass,61,112,658,76
Cameroon,Attacker,1932.0,grass,61,112,658,78
France,Defender,1932.0,grass,61,112,658,78
Mali,Defender,1932.0,grass,61,112,658,78
France,Defender,1932.0,grass,61,112,658,72
Senegal,Attacker,1932.0,grass,61,112,658,73
France,Midfielder,1932.0,grass,61,112,658,76
Algeria,Goalkeeper,1932.0,grass,61,112,658,79
France,Defender,1932.0,grass,61,112,658,79
Côte d'Ivoire,Midfielder,1932.0,grass,61,112,658,80
Senegal,Midfielder,1932.0,grass,61,112,658,56
Morocco,Defender,1932.0,grass,61,112,658,66
France,Goalkeeper,1932.0,grass,61,112,658,79
France,Attacker,1932.0,grass,61,112,658,73
Senegal,Attacker,1932.0,grass,61,112,658,74
Guinea-Bissau,Defender,1932.0,grass,61,112,658,75
Senegal,Goalkeeper,1932.0,grass,61,112,658,74
Haiti,Midfielder,1932.0,grass,61,112,658,75
France,Defender,1932.0,grass,61,112,658,75
Mali,Defender,1932.0,grass,61,112,658,75
France,Midfielder,1932.0,grass,61,112,658,68
