,player_age,correct
27027,36.0,0
20417,20.0,1
12128,29.0,0
63854,31.0,1
12290,35.0,1
47897,24.0,1
58192,30.0,1
11571,32.0,0
41556,28.0,1
23004,28.0,1
15945,36.0,0
57096,33.0,0
53265,31.0,0
47411,26.0,1
54023,25.0,0
11890,36.0,0
20267,31.0,1
56772,35.0,1
60990,39.0,0
2348,29.0,1
59145,31.0,1
24927,31.0,0
39865,35.0,0
44917,34.0,0
40805,34.0,0
50926,33.0,0
38169,28.0,1
8184,24.0,0
35673,23.0,1
19113,29.0,0
15249,35.0,0
39653,26.0,0
52983,37.0,0
18230,36.0,0
61404,30.0,1
30316,35.0,0
38798,32.0,0
1347,27.0,1
3976,33.0,1
23083,28.0,1
20396,26.0,1
19549,31.0,1
58005,38.0,0
12374,31.0,0
3815,37.0,0
28784,29.0,0
10060,40.0,0
26999,26.0,1
22587,34.0,1
6026,35.0,0
29552,27.0,0
58502,32.0,0
26388,21.0,1
59255,21.0,1
26721,40.0,1
20542,19.0,1
37559,28.0,0
59510,18.0,1
40490,29.0,1
56843,35.0,1
28201,26.0,1
57987,33.0,1
9297,32.0,0
39184,36.0,0
38596,28.0,0
24901,31.0,1
43756,31.0,0
63335,37.0,1
22850,24.0,1
17229,39.0,1
2564,22.0,1
53311,34.0,0
61078,30.0,0
50514,29.0,1
62138,29.0,1
27116,36.0,0
19948,27.0,1
23412,30.0,1
42130,29.0,1
65452,44.0,1
30243,36.0,0
61386,31.0,0
61055,35.0,1
65291,32.0,1
14480,26.0,0
54039,19.0,1
6713,27.0,1
39264,32.0,1
8970,21.0,1
2520,26.0,0
3222,29.0,1
58433,28.0,1
3937,33.0,0
9263,31.0,0
13797,37.0,0
37618,25.0,1
58141,34.0,0
43876,32.0,1
41898,28.0,1
34830,23.0,1
1110,25.0,0
22507,33.0,0
58956,31.0,0
4112,38.0,1
26166,26.0,0
14584,38.0,0
58313,37.0,0
5719,40.0,0
49898,34.0,0
15854,36.0,0
37535,24.0,1
39044,25.0,1
32960,29.0,1
50297,32.0,1
53280,32.0,1
48061,33.0,1
21904,28.0,0
31191,31.0,0
55698,24.0,1
30814,36.0,1
62255,38.0,0
19417,37.0,0
59995,30.0,1
65084,38.0,1
1284,23.0,1
52681,35.0,0
5850,36.0,0
63637,36.0,1
33816,27.0,1
45748,40.0,0
45305,28.0,0
48484,30.0,1
35790,27.0,1
48490,26.0,1
41683,28.0,0
5670,39.0,1
10283,42.0,1
46348,32.0,1
5417,39.0,0
22731,30.0,1
49654,29.0,1
6037,36.0,1
61971,26.0,1
46012,30.0,0
48192,36.0,1
24060,34.0,0
53337,33.0,0
54690,23.0,1
16135,29.0,0
10920,34.0,1
41690,27.0,1
46398,39.0,0
9618,30.0,0
55819,33.0,1
10099,40.0,0
11009,38.0,1
41349,29.0,1
9865,36.0,0
56452,32.0,1
11699,30.0,1
50063,27.0,0
4315,35.0,0
53135,38.0,0
50313,30.0,0
39462,33.0,0
24694,35.0,1
47951,30.0,1
6903,30.0,0
13731,32.0,0
5240,22.0,1
9941,33.0,0
19281,33.0,1
44497,35.0,0
27328,32.0,0
15473,39.0,1
48229,33.0,1
49765,25.0,1
11595,29.0,1
5815,30.0,1
41555,26.0,0
8138,26.0,1
14606,29.0,1
46019,35.0,0
10111,24.0,1
22698,34.0,1
4101,34.0,1
64612,31.0,1
59580,31.0,0
56044,34.0,0
43714,36.0,0
40959,20.0,1
45993,34.0,1
9248,24.0,1
43497,29.0,1
52935,39.0,0
60842,29.0,1
25034,41.0,1
3001,29.0,1
7653,39.0,1
51437,35.0,0
234,31.0,1
41766,29.0,0
64158,34.0,0
51772,35.0,1
60571,34.0,1
8998,28.0,1
25078,31.0,1
26911,23.0,1
9129,27.0,0
33950,30.0,0
40089,30.0,1
17174,29.0,1
59810,19.0,1
60819,23.0,1
5465,26.0,0
11687,30.0,1
41829,26.0,1
44424,30.0,1
2858,25.0,1
2061,29.0,1
43949,30.0,1
59444,32.0,0
52059,27.0,1
20908,24.0,1
23857,38.0,1
50591,33.0,1
58884,23.0,1
6209,30.0,1
29907,31.0,1
28188,26.0,1
36,20.0,1
45507,40.0,1
38346,30.0,0
55474,30.0,0
44025,31.0,0
49049,32.0,1
6379,35.0,1
38075,28.0,1
34543,22.0,1
10541,45.0,0
31574,27.0,1
24652,27.0,0
12564,38.0,1
2428,22.0,1
50345,27.0,0
38389,27.0,1
3789,24.0,1
13477,20.0,1
38340,30.0,0
5349,31.0,1
62791,25.0,1
48086,34.0,1
48966,25.0,1
35272,25.0,0
62749,30.0,1
40424,21.0,1
42474,29.0,1
64352,30.0,0
19101,33.0,1
17292,36.0,0
57384,36.0,0
49974,35.0,1
40141,43.0,1
25492,43.0,0
50912,34.0,0
20615,28.0,0
8982,22.0,1
61747,22.0,1
46120,31.0,0
7734,19.0,1
47492,29.0,0
15942,23.0,1
26526,26.0,1
8289,24.0,1
12787,31.0,0
2033,33.0,1
25802,32.0,1
38270,29.0,1
59187,30.0,0
13865,22.0,1
127,21.0,1
29144,40.0,1
5176,31.0,0
137,26.0,1
61833,35.0,1
20996,29.0,0
56711,29.0,1
57532,32.0,0
19522,38.0,1
63131,32.0,0
36745,23.0,0
12050,34.0,1
43324,32.0,1
47536,30.0,0
35203,26.0,0
15630,35.0,0
3525,27.0,1
12702,30.0,1
26360,30.0,0
