league_id,league_name,league_type,league_logo,country_name,country_code,country_flag
840,Taça Revelação U23,Cup,https://media-3.api-sports.io/football/leagues/840.png,Portugal,PT,https://media-1.api-sports.io/flags/pt.svg
841,QFA Cup,Cup,https://media-2.api-sports.io/football/leagues/841.png,Qatar,QA,https://media-3.api-sports.io/flags/qa.svg
843,Copa Verde,Cup,https://media-2.api-sports.io/football/leagues/843.png,Brazil,BR,https://media-2.api-sports.io/flags/br.svg
844,Ligue 1,League,https://media-3.api-sports.io/football/leagues/844.png,Congo,CD,https://media-3.api-sports.io/flags/cd.svg
845,GFA League,League,https://media-1.api-sports.io/football/leagues/845.png,Gambia,GM,https://media-2.api-sports.io/flags/gm.svg
847,Premier League,League,https://media-1.api-sports.io/football/leagues/847.png,Eswatini,SZ,https://media-1.api-sports.io/flags/sz.svg
849,Baltic Cup,Cup,https://media-1.api-sports.io/football/leagues/849.png,World,,
643,3. liga - Bratislava,League,https://media-3.api-sports.io/football/leagues/643.png,Slovakia,SK,https://media-2.api-sports.io/flags/sk.svg
644,3. liga - West,League,https://media-3.api-sports.io/football/leagues/644.png,Slovakia,SK,https://media-2.api-sports.io/flags/sk.svg
645,3. liga - East,League,https://media-2.api-sports.io/football/leagues/645.png,Slovakia,SK,https://media-1.api-sports.io/flags/sk.svg
646,3. liga - Center,League,https://media-1.api-sports.io/football/leagues/646.png,Slovakia,SK,https://media-1.api-sports.io/flags/sk.svg
647,Lao League,League,https://media-3.api-sports.io/football/leagues/647.png,Laos,LA,https://media-2.api-sports.io/flags/la.svg
648,Tasmania NPL,League,https://media-1.api-sports.io/football/leagues/648.png,Australia,AU,https://media-2.api-sports.io/flags/au.svg
649,Supreme Division Women,League,https://media-1.api-sports.io/football/leagues/649.png,Russia,RU,https://media-1.api-sports.io/flags/ru.svg
650,Second League - Group 3,League,https://media-3.api-sports.io/football/leagues/650.png,Russia,RU,https://media-3.api-sports.io/flags/ru.svg
651,Second League - Group 1,League,https://media-1.api-sports.io/football/leagues/651.png,Russia,RU,https://media-2.api-sports.io/flags/ru.svg
652,Second League - Group 2,League,https://media-1.api-sports.io/football/leagues/652.png,Russia,RU,https://media-3.api-sports.io/flags/ru.svg
653,Second League - Group 4,League,https://media-2.api-sports.io/football/leagues/653.png,Russia,RU,https://media-2.api-sports.io/flags/ru.svg
654,Super Cup,Cup,https://media-1.api-sports.io/football/leagues/654.png,Armenia,AM,https://media-3.api-sports.io/flags/am.svg
656,Super Cup,Cup,https://media-2.api-sports.io/football/leagues/656.png,Bulgaria,BG,https://media-3.api-sports.io/flags/bg.svg
657,Cup,Cup,https://media-2.api-sports.io/football/leagues/657.png,Estonia,EE,https://media-3.api-sports.io/flags/ee.svg
