id,name,age,number,position,photo,team_id
2165,V. Mykolenko,24,19.0,Defender,https://media-2.api-sports.io/football/players/2165.png,45
19073,B. Godfrey,25,22.0,Defender,https://media-2.api-sports.io/football/players/19073.png,45
18758,S. Coleman,35,23.0,Defender,https://media-1.api-sports.io/football/players/18758.png,45
18745,Rúben Vinagre,24,29.0,Defender,https://media-1.api-sports.io/football/players/18745.png,45
18741,C. Coady,30,30.0,Defender,https://media-1.api-sports.io/football/players/18741.png,45
138849,K. John,22,48.0,Defender,https://media-3.api-sports.io/football/players/138849.png,45
284327,R. Welch,20,64.0,Defender,https://media-2.api-sports.io/football/players/284327.png,45
328093,I. Samuels-Smith,17,,Defender,https://media-3.api-sports.io/football/players/328093.png,45
162714,A. Onana,22,8.0,Midfielder,https://media-2.api-sports.io/football/players/162714.png,45
18854,A. Townsend,32,14.0,Midfielder,https://media-2.api-sports.io/football/players/18854.png,45
18805,A. Doucouré,30,16.0,Midfielder,https://media-2.api-sports.io/football/players/18805.png,45
18762,T. Davies,25,26.0,Midfielder,https://media-3.api-sports.io/football/players/18762.png,45
2990,I. Gueye,34,27.0,Midfielder,https://media-1.api-sports.io/football/players/2990.png,45
895,J. Garner,22,37.0,Midfielder,https://media-3.api-sports.io/football/players/895.png,45
284187,S. Mills,20,56.0,Midfielder,https://media-1.api-sports.io/football/players/284187.png,45
284267,I. Price,20,60.0,Midfielder,https://media-2.api-sports.io/football/players/284267.png,45
18929,D. McNeil,24,7.0,Attacker,https://media-1.api-sports.io/football/players/18929.png,45
18766,D. Calvert-Lewin,26,9.0,Attacker,https://media-1.api-sports.io/football/players/18766.png,45
18781,D. Gray,27,11.0,Attacker,https://media-2.api-sports.io/football/players/18781.png,45
1455,A. Iwobi,27,17.0,Attacker,https://media-1.api-sports.io/football/players/1455.png,45
19364,N. Maupay,27,20.0,Attacker,https://media-3.api-sports.io/football/players/19364.png,45
138786,E. Simms,22,50.0,Attacker,https://media-1.api-sports.io/football/players/138786.png,45
18146,D. Ward,30,1.0,Goalkeeper,https://media-2.api-sports.io/football/players/18146.png,46
18985,A. Smithies,33,12.0,Goalkeeper,https://media-3.api-sports.io/football/players/18985.png,46
17736,D. Iversen,26,31.0,Goalkeeper,https://media-1.api-sports.io/football/players/17736.png,46
19760,J. Justin,25,2.0,Defender,https://media-1.api-sports.io/football/players/19760.png,46
8694,W. Faes,25,3.0,Defender,https://media-3.api-sports.io/football/players/8694.png,46
18776,Ç. Söyüncü,27,4.0,Defender,https://media-3.api-sports.io/football/players/18776.png,46
18936,R. Bertrand,34,5.0,Defender,https://media-3.api-sports.io/football/players/18936.png,46
18772,J. Evans,35,6.0,Defender,https://media-2.api-sports.io/football/players/18772.png,46
20079,H. Souttar,25,15.0,Defender,https://media-1.api-sports.io/football/players/20079.png,46
158710,V. Kristiansen,21,16.0,Defender,https://media-1.api-sports.io/football/players/158710.png,46
3421,D. Amartey,29,18.0,Defender,https://media-1.api-sports.io/football/players/3421.png,46
18771,Ricardo Pereira,30,21.0,Defender,https://media-2.api-sports.io/football/players/18771.png,46
18943,J. Vestergaard,31,23.0,Defender,https://media-1.api-sports.io/football/players/18943.png,46
2920,T. Castagne,28,27.0,Defender,https://media-3.api-sports.io/football/players/2920.png,46
152969,L. Thomas,22,33.0,Defender,https://media-1.api-sports.io/football/players/152969.png,46
284396,J. Wormleighton,20,60.0,Defender,https://media-1.api-sports.io/football/players/284396.png,46
18778,H. Barnes,26,7.0,Midfielder,https://media-2.api-sports.io/football/players/18778.png,46
2926,Y. Tielemans,26,8.0,Midfielder,https://media-1.api-sports.io/football/players/2926.png,46
18784,J. Maddison,27,10.0,Midfielder,https://media-1.api-sports.io/football/players/18784.png,46
148099,K. Dewsbury-Hall,25,22.0,Midfielder,https://media-2.api-sports.io/football/players/148099.png,46
18785,N. Mendy,31,24.0,Midfielder,https://media-3.api-sports.io/football/players/18785.png,46
18786,W. Ndidi,27,25.0,Midfielder,https://media-3.api-sports.io/football/players/18786.png,46
2925,D. Praet,29,26.0,Midfielder,https://media-2.api-sports.io/football/players/2925.png,46
138929,L. Brunt,23,34.0,Midfielder,https://media-2.api-sports.io/football/players/138929.png,46
284487,Wanya Marçal,21,40.0,Midfielder,https://media-1.api-sports.io/football/players/284487.png,46
22233,B. Soumaré,24,42.0,Midfielder,https://media-3.api-sports.io/football/players/22233.png,46
289624,S. Braybrooke,19,44.0,Midfielder,https://media-3.api-sports.io/football/players/289624.png,46
305733,W. Alves,18,,Midfielder,https://media-1.api-sports.io/football/players/305733.png,46
18788,J. Vardy,36,9.0,Attacker,https://media-2.api-sports.io/football/players/18788.png,46
2778,K. Ịheanachọ,27,14.0,Attacker,https://media-1.api-sports.io/football/players/2778.png,46
1098,P. Daka,25,20.0,Attacker,https://media-3.api-sports.io/football/players/1098.png,46
691,Tetê,23,37.0,Attacker,https://media-1.api-sports.io/football/players/691.png,46
159,H. Lloris,37,1.0,Goalkeeper,https://media-1.api-sports.io/football/players/159.png,47
18932,F. Forster,35,20.0,Goalkeeper,https://media-1.api-sports.io/football/players/18932.png,47
156428,B. Austin,24,40.0,Goalkeeper,https://media-1.api-sports.io/football/players/156428.png,47
161,A. Whiteman,25,41.0,Goalkeeper,https://media-2.api-sports.io/football/players/161.png,47
168,D. Sánchez,27,6.0,Defender,https://media-3.api-sports.io/football/players/168.png,47
1566,Emerson,24,12.0,Defender,https://media-3.api-sports.io/football/players/1566.png,47
175,E. Dier,29,15.0,Defender,https://media-2.api-sports.io/football/players/175.png,47
30776,C. Romero,25,17.0,Defender,https://media-2.api-sports.io/football/players/30776.png,47
47519,Pedro Porro,24,23.0,Defender,https://media-2.api-sports.io/football/players/47519.png,47
149550,J. Tanganga,24,25.0,Defender,https://media-2.api-sports.io/football/players/149550.png,47
164,B. Davies,30,33.0,Defender,https://media-3.api-sports.io/football/players/164.png,47
133,C. Lenglet,28,34.0,Defender,https://media-2.api-sports.io/football/players/133.png,47
311817,A. Dorrington,18,,Defender,https://media-2.api-sports.io/football/players/311817.png,47
154800,M. Fagan-Walcott,21,,Defender,https://media-2.api-sports.io/football/players/154800.png,47
162607,M. Muir,21,,Defender,https://media-3.api-sports.io/football/players/162607.png,47
60353,M. Paskotši,20,,Defender,https://media-2.api-sports.io/football/players/60353.png,47
331009,C. Sayers,19,,Defender,https://media-3.api-sports.io/football/players/331009.png,47
180,O. Skipp,23,4.0,Midfielder,https://media-1.api-sports.io/football/players/180.png,47
2735,P. Højbjerg,28,5.0,Midfielder,https://media-3.api-sports.io/football/players/2735.png,47
